"","Year","Month","Class","Quantity"
"564",2015,6,"RVs",6686
"570",2015,7,"RVs",6182
"575",2015,8,"RVs",3070
"580",2015,9,"RVs",2316
"585",2015,10,"RVs",2648
"590",2015,11,"RVs",2142
"595",2015,12,"RVs",1724
"535",2016,1,"RVs",2418
"541",2016,2,"RVs",4416
"547",2016,3,"RVs",10892
"553",2016,4,"RVs",11326
"559",2016,5,"RVs",10348
"565",2016,6,"RVs",8310
"596",2011,1,"SMALL_CARS",75720
"602",2011,2,"SMALL_CARS",82580
"608",2011,3,"SMALL_CARS",127586
"614",2011,4,"SMALL_CARS",92958
"620",2011,5,"SMALL_CARS",113922
"626",2011,6,"SMALL_CARS",111342
"632",2011,7,"SMALL_CARS",90968
"637",2011,8,"SMALL_CARS",87846
"642",2011,9,"SMALL_CARS",105434
"647",2011,10,"SMALL_CARS",97190
"652",2011,11,"SMALL_CARS",97910
"657",2011,12,"SMALL_CARS",86532
"597",2012,1,"SMALL_CARS",67264
"603",2012,2,"SMALL_CARS",83162
"609",2012,3,"SMALL_CARS",125808
"615",2012,4,"SMALL_CARS",88260
"621",2012,5,"SMALL_CARS",92266
"627",2012,6,"SMALL_CARS",106854
"633",2012,7,"SMALL_CARS",78306
"638",2012,8,"SMALL_CARS",76654
"643",2012,9,"SMALL_CARS",82732
"648",2012,10,"SMALL_CARS",86438
"653",2012,11,"SMALL_CARS",87846
"658",2012,12,"SMALL_CARS",63282
"598",2013,1,"SMALL_CARS",61618
"604",2013,2,"SMALL_CARS",62524
"610",2013,3,"SMALL_CARS",93738
"616",2013,4,"SMALL_CARS",96728
"622",2013,5,"SMALL_CARS",85460
"628",2013,6,"SMALL_CARS",92726
"634",2013,7,"SMALL_CARS",83436
"639",2013,8,"SMALL_CARS",72894
"644",2013,9,"SMALL_CARS",83502
"649",2013,10,"SMALL_CARS",83574
"654",2013,11,"SMALL_CARS",82748
"659",2013,12,"SMALL_CARS",66340
"599",2014,1,"SMALL_CARS",62786
"605",2014,2,"SMALL_CARS",71038
"611",2014,3,"SMALL_CARS",90332
"617",2014,4,"SMALL_CARS",76266
"623",2014,5,"SMALL_CARS",74456
"629",2014,6,"SMALL_CARS",83388
"635",2014,7,"SMALL_CARS",77170
"640",2014,8,"SMALL_CARS",65020
"645",2014,9,"SMALL_CARS",84412
"650",2014,10,"SMALL_CARS",89112
